Rank,Units
1,1493
2,1468
3,1408
4,1358
5,1329
6,1280
7,1247
8,1221
9,1206
10,1171
11,1148
12,1121
13,1107
14,1081
15,1064
16,1053
17,1031
18,1018
19,1006
20,987
21,974
22,957
23,944
24,932
25,920
26,912
27,898
28,889
29,878
30,879
31,871
32,851
33,837
34,828
35,860
36,810
37,798
38,796
39,782
40,778
41,775
42,769
43,755
44,753
45,741
46,735
47,729
48,723
49,718
50,712
51,707
52,723
53,692
54,690
55,683
56,678
57,673
58,672
59,662
60,659
61,654
62,647
63,644
64,639
65,634
66,628
67,626
68,621
69,618
70,612
71,605
72,609
73,600
74,601
75,593
76,590
77,584
78,581
79,578
80,575
81,568
82,569
83,568
85,555
86,559
87,598
88,549
89,545
90,541
92,537
93,532
94,532
95,527
96,538
97,520
98,522
99,517
100,615
101,513
102,511
103,507
104,504
105,503
106,498
108,492
109,494
110,489
111,510
112,484
113,487
114,481
115,476
116,474
117,472
120,468
121,470
122,463
123,463
124,459
125,457
126,481
127,456
128,452
129,452
130,444
131,444
132,443
134,440
135,439
136,437
137,435
138,433
139,430
140,429
141,428
142,426
143,422
144,422
145,422
146,420
147,418
149,409
150,414
152,411
153,409
154,409
155,408
156,405
157,404
158,403
159,400
160,399
161,397
162,398
163,396
164,392
165,392
166,390
167,409
168,388
169,386
170,385
171,383
172,384
173,381
174,380
175,381
176,383
177,370
178,375
179,374
180,373
181,371
182,370
183,369
184,368
185,366
187,364
188,363
189,364
190,361
191,359
192,358
193,358
194,357
195,355
196,354
197,353
198,351
199,350
200,351
201,349
202,350
203,349
204,346
206,345
208,345
209,345
210,340
211,340
212,337
213,338
214,334
215,334
216,335
217,336
218,332
219,805
220,329
222,329
223,332
224,380
225,347
226,323
227,321
228,323
229,318
230,324
231,321
232,320
233,322
234,317
235,320
236,320
237,315
238,315
239,313
240,314
241,313
242,310
243,311
244,309
246,310
247,308
248,307
249,310
250,301
251,306
252,305
253,304
254,303
255,302
256,301
257,300
258,303
259,299
260,300
261,298
263,300
264,307
265,295
266,295
267,294
268,295
269,293
270,292
271,281
272,290
273,292
274,290
275,288
276,294
277,286
278,287
279,285
280,285
282,281
283,283
284,283
285,282
286,280
287,280
288,278
289,278
290,279
291,272
292,277
293,277
294,274
295,278
297,274
298,271
301,266
302,273
303,271
304,272
305,270
306,270
307,270
308,269
309,268
310,271
311,268
315,265
317,265
318,260
319,267
321,261
322,261
323,261
324,260
325,256
326,259
327,259
328,256
329,258
330,258
331,257
332,256
333,257
335,256
336,255
338,253
340,252
342,250
343,251
344,250
345,250
346,249
347,249
348,250
350,250
351,247
352,248
353,243
354,248
355,245
361,242
362,241
363,234
364,241
367,240
369,239
370,239
371,238
372,241
374,237
375,237
377,236
378,236
379,233
380,235
382,234
383,234
385,233
387,230
388,235
391,229
392,229
393,230
394,231
395,230
396,226
398,230
399,228
400,236
401,226
402,226
403,226
404,225
405,285
406,225
407,223
408,224
410,227
411,222
412,223
414,222
416,221
417,223
418,221
419,220
420,221
421,218
422,221
423,218
424,219
426,218
427,218
428,216
429,217
430,217
432,216
433,216
434,216
435,217
437,214
438,214
439,214
440,216
441,213
442,212
443,214
444,211
447,212
448,210
449,209
451,211
452,206
453,209
454,208
455,208
456,208
457,208
458,208
459,207
460,210
461,208
462,207
463,207
464,205
466,205
468,204
469,205
470,204
471,204
472,202
473,203
474,203
475,203
476,202
477,203
478,199
479,201
480,202
481,201
482,201
484,200
485,200
486,201
487,199
488,199
489,206
490,202
492,198
493,199
494,195
495,199
496,197
497,197
498,197
500,196
501,195
502,196
503,194
504,195
507,196
508,194
510,193
512,194
513,193
514,192
515,192
517,196
518,192
519,191
520,192
523,190
525,190
526,185
527,190
528,188
529,187
530,186
531,188
532,187
535,187
536,186
537,187
538,184
539,186
540,186
541,186
542,186
543,188
545,185
548,184
550,179
552,179
553,183
554,183
555,182
559,181
560,180
561,181
563,180
564,186
566,179
567,181
568,180
569,180
570,179
571,179
572,176
573,178
574,179
577,178
578,179
579,181
580,177
581,177
583,177
584,175
585,176
587,174
588,177
589,175
590,175
591,176
595,171
596,175
597,173
598,174
601,174
602,172
603,250
605,172
606,172
607,171
608,172
609,171
611,172
612,171
614,170
615,169
616,170
617,592
618,170
619,170
621,169
622,169
623,169
625,168
634,167
635,166
637,166
638,166
639,167
641,166
642,166
643,165
645,164
646,165
647,164
649,164
650,164
651,164
653,163
654,163
655,165
657,163
658,162
661,160
663,161
664,163
665,161
666,162
667,161
670,161
671,159
672,160
674,165
675,161
677,158
678,162
680,158
683,158
684,158
686,157
687,160
688,158
690,157
691,161
693,157
697,157
699,155
700,159
702,156
704,156
705,155
706,158
707,155
709,154
712,152
714,154
717,153
718,153
721,153
724,151
725,152
726,152
727,152
730,151
732,151
734,151
738,150
740,151
742,149
744,149
745,149
746,149
747,149
748,149
749,148
750,148
751,148
754,148
755,148
756,154
761,146
763,147
765,152
767,146
769,166
772,146
774,144
775,145
776,145
778,147
779,142
782,144
786,144
788,143
789,144
790,143
794,142
801,142
804,137
806,141
807,143
808,142
810,138
